We gratefully acknowledge the following Authors from the Originating laboratories responsible for obtaining the specimens, as well as the Submitting laboratories where the genome data were generated and shared via GISAID, on which this research is based.
All Submitters of data may be contacted directly via www.gisaid.org
Authors are sorted alphabetically.
Accession ID,Originating Laboratory,Submitting Laboratory,Authors
EPI_ISL_861648,Hospital e Pronto Socorro Portinari,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes, Karoline Rodrigues Campos"
EPI_ISL_861649,Hospital Renascença Campinas,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes, Karoline Rodrigues Campos"
EPI_ISL_861650,Hospital Santa Marcelina Sao Paulo,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes, Karoline Rodrigues Campos"
EPI_ISL_861652,AMA Wamberto Dias da Costa,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes, Karoline Rodrigues Campos"
EPI_ISL_861654,Hospital Santa Marcelina Sao Paulo,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes, Karoline Rodrigues Campos"
EPI_ISL_861655,Hospital Santa Marcelina Sao Paulo,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes, Karoline Rodrigues Campos"
EPI_ISL_861656,UPA de Jandira,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes, Karoline Rodrigues Campos"
EPI_ISL_861657,Hospital e Maternidade Sino Brasileiro,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes, Karoline Rodrigues Campos"
EPI_ISL_861658,Hospital Municipal Antônio Giglio,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes, Karoline Rodrigues Campos"
EPI_ISL_861660,PS e Maternidade Nair Fonseca Leitao Arantes,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes, Karoline Rodrigues Campos"
EPI_ISL_861661,PS e Maternidade Nair Fonseca Leitao Arantes,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes, Karoline Rodrigues Campos"
EPI_ISL_861663,Instituto Adolfo Lutz - Central,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes, Karoline Rodrigues Campos"
EPI_ISL_672672,DB Diagnosticos do Brasil,Laboratório de Parasitologia Médica - Instituto de Medicina Tropical - Universidade de São Paulo,Brazil-UK Centre for Arbovirus Discovery Diagnosis Genomics and Epidemiology (CADDE) Genomic Network - Instituto de Medicina Tropical
EPI_ISL_672673,DB Diagnosticos do Brasil,Laboratório de Parasitologia Médica - Instituto de Medicina Tropical - Universidade de São Paulo,Brazil-UK Centre for Arbovirus Discovery Diagnosis Genomics and Epidemiology (CADDE) Genomic Network - Instituto de Medicina Tropical
EPI_ISL_672677,DB Diagnosticos do Brasil,Laboratório de Parasitologia Médica - Instituto de Medicina Tropical - Universidade de São Paulo,Brazil-UK Centre for Arbovirus Discovery Diagnosis Genomics and Epidemiology (CADDE) Genomic Network - Instituto de Medicina Tropical
EPI_ISL_672678,DB Diagnosticos do Brasil,Laboratório de Parasitologia Médica - Instituto de Medicina Tropical - Universidade de São Paulo,Brazil-UK Centre for Arbovirus Discovery Diagnosis Genomics and Epidemiology (CADDE) Genomic Network - Instituto de Medicina Tropical
EPI_ISL_672687,Hospital das Clínicas da Faculdade de Medicina da Universidade de São Paulo (HC-FMUSP),Laboratório de Parasitologia Médica - Instituto de Medicina Tropical - Universidade de São Paulo,Brazil-UK Centre for Arbovirus Discovery Diagnosis Genomics and Epidemiology (CADDE) Genomic Network - Instituto de Medicina Tropical
EPI_ISL_672690,Hospital das Clínicas da Faculdade de Medicina da Universidade de São Paulo (HC-FMUSP),Laboratório de Parasitologia Médica - Instituto de Medicina Tropical - Universidade de São Paulo,Brazil-UK Centre for Arbovirus Discovery Diagnosis Genomics and Epidemiology (CADDE) Genomic Network - Instituto de Medicina Tropical
EPI_ISL_672691,Hospital das Clínicas da Faculdade de Medicina da Universidade de São Paulo (HC-FMUSP),Laboratório de Parasitologia Médica - Instituto de Medicina Tropical - Universidade de São Paulo,Brazil-UK Centre for Arbovirus Discovery Diagnosis Genomics and Epidemiology (CADDE) Genomic Network - Instituto de Medicina Tropical
EPI_ISL_672692,Hospital das Clínicas da Faculdade de Medicina da Universidade de São Paulo (HC-FMUSP),Laboratório de Parasitologia Médica - Instituto de Medicina Tropical - Universidade de São Paulo,Brazil-UK Centre for Arbovirus Discovery Diagnosis Genomics and Epidemiology (CADDE) Genomic Network - Instituto de Medicina Tropical
EPI_ISL_672693,Hospital das Clínicas da Faculdade de Medicina da Universidade de São Paulo (HC-FMUSP),Laboratório de Parasitologia Médica - Instituto de Medicina Tropical - Universidade de São Paulo,Brazil-UK Centre for Arbovirus Discovery Diagnosis Genomics and Epidemiology (CADDE) Genomic Network - Instituto de Medicina Tropical
EPI_ISL_672694,Hospital das Clínicas da Faculdade de Medicina da Universidade de São Paulo (HC-FMUSP),Laboratório de Parasitologia Médica - Instituto de Medicina Tropical - Universidade de São Paulo,Brazil-UK Centre for Arbovirus Discovery Diagnosis Genomics and Epidemiology (CADDE) Genomic Network - Instituto de Medicina Tropical
EPI_ISL_672697,Hospital das Clínicas da Faculdade de Medicina da Universidade de São Paulo (HC-FMUSP),Laboratório de Parasitologia Médica - Instituto de Medicina Tropical - Universidade de São Paulo,Brazil-UK Centre for Arbovirus Discovery Diagnosis Genomics and Epidemiology (CADDE) Genomic Network - Instituto de Medicina Tropical
EPI_ISL_672699,Hospital das Clínicas da Faculdade de Medicina da Universidade de São Paulo (HC-FMUSP),Laboratório de Parasitologia Médica - Instituto de Medicina Tropical - Universidade de São Paulo,Brazil-UK Centre for Arbovirus Discovery Diagnosis Genomics and Epidemiology (CADDE) Genomic Network - Instituto de Medicina Tropical
EPI_ISL_672700,Hospital das Clínicas da Faculdade de Medicina da Universidade de São Paulo (HC-FMUSP),Laboratório de Parasitologia Médica - Instituto de Medicina Tropical - Universidade de São Paulo,Brazil-UK Centre for Arbovirus Discovery Diagnosis Genomics and Epidemiology (CADDE) Genomic Network - Instituto de Medicina Tropical
EPI_ISL_672701,Institute of Tropical Medicine at the University of São Paulo (IMT-USP),Laboratório de Parasitologia Médica - Instituto de Medicina Tropica - Universidade de São Paulo,Brazil-UK Centre for Arbovirus Discovery Diagnosis Genomics and Epidemiology (CADDE) Genomic Network - Instituto de Medicina Tropical
EPI_ISL_672702,Institute of Tropical Medicine at the University of São Paulo (IMT-USP),Laboratório de Parasitologia Médica - Instituto de Medicina Tropica - Universidade de São Paulo,Brazil-UK Centre for Arbovirus Discovery Diagnosis Genomics and Epidemiology (CADDE) Genomic Network - Instituto de Medicina Tropical
EPI_ISL_672703,Institute of Tropical Medicine at the University of São Paulo (IMT-USP),Laboratório de Parasitologia Médica - Instituto de Medicina Tropica - Universidade de São Paulo,Brazil-UK Centre for Arbovirus Discovery Diagnosis Genomics and Epidemiology (CADDE) Genomic Network - Instituto de Medicina Tropical
EPI_ISL_672704,Institute of Tropical Medicine at the University of São Paulo (IMT-USP),Laboratório de Parasitologia Médica - Instituto de Medicina Tropica - Universidade de São Paulo,Brazil-UK Centre for Arbovirus Discovery Diagnosis Genomics and Epidemiology (CADDE) Genomic Network - Instituto de Medicina Tropical
EPI_ISL_672705,Institute of Tropical Medicine at the University of São Paulo (IMT-USP),Laboratório de Parasitologia Médica - Instituto de Medicina Tropica - Universidade de São Paulo,Brazil-UK Centre for Arbovirus Discovery Diagnosis Genomics and Epidemiology (CADDE) Genomic Network - Instituto de Medicina Tropical
EPI_ISL_672706,Institute of Tropical Medicine at the University of São Paulo (IMT-USP),Laboratório de Parasitologia Médica - Instituto de Medicina Tropica - Universidade de São Paulo,Brazil-UK Centre for Arbovirus Discovery Diagnosis Genomics and Epidemiology (CADDE) Genomic Network - Instituto de Medicina Tropical
EPI_ISL_672707,Institute of Tropical Medicine at the University of São Paulo (IMT-USP),Laboratório de Parasitologia Médica - Instituto de Medicina Tropica - Universidade de São Paulo,Brazil-UK Centre for Arbovirus Discovery Diagnosis Genomics and Epidemiology (CADDE) Genomic Network - Instituto de Medicina Tropical
EPI_ISL_672708,Institute of Tropical Medicine at the University of São Paulo (IMT-USP),Laboratório de Parasitologia Médica - Instituto de Medicina Tropica - Universidade de São Paulo,Brazil-UK Centre for Arbovirus Discovery Diagnosis Genomics and Epidemiology (CADDE) Genomic Network - Instituto de Medicina Tropical
EPI_ISL_672710,Institute of Tropical Medicine at the University of São Paulo (IMT-USP),Laboratório de Parasitologia Médica - Instituto de Medicina Tropica - Universidade de São Paulo,Brazil-UK Centre for Arbovirus Discovery Diagnosis Genomics and Epidemiology (CADDE) Genomic Network - Instituto de Medicina Tropical
EPI_ISL_672711,Institute of Tropical Medicine at the University of São Paulo (IMT-USP),Laboratório de Parasitologia Médica - Instituto de Medicina Tropica - Universidade de São Paulo,Brazil-UK Centre for Arbovirus Discovery Diagnosis Genomics and Epidemiology (CADDE) Genomic Network - Instituto de Medicina Tropical
EPI_ISL_672713,Institute of Tropical Medicine at the University of São Paulo (IMT-USP),Laboratório de Parasitologia Médica - Instituto de Medicina Tropica - Universidade de São Paulo,Brazil-UK Centre for Arbovirus Discovery Diagnosis Genomics and Epidemiology (CADDE) Genomic Network - Instituto de Medicina Tropical
EPI_ISL_672714,Institute of Tropical Medicine at the University of São Paulo (IMT-USP),Laboratório de Parasitologia Médica - Instituto de Medicina Tropica - Universidade de São Paulo,Brazil-UK Centre for Arbovirus Discovery Diagnosis Genomics and Epidemiology (CADDE) Genomic Network - Instituto de Medicina Tropical
EPI_ISL_672715,Institute of Tropical Medicine at the University of São Paulo (IMT-USP),Laboratório de Parasitologia Médica - Instituto de Medicina Tropica - Universidade de São Paulo,Brazil-UK Centre for Arbovirus Discovery Diagnosis Genomics and Epidemiology (CADDE) Genomic Network - Instituto de Medicina Tropical
EPI_ISL_672716,Institute of Tropical Medicine at the University of São Paulo (IMT-USP),Laboratório de Parasitologia Médica - Instituto de Medicina Tropica - Universidade de São Paulo,Brazil-UK Centre for Arbovirus Discovery Diagnosis Genomics and Epidemiology (CADDE) Genomic Network - Instituto de Medicina Tropical
EPI_ISL_672717,Institute of Tropical Medicine at the University of São Paulo (IMT-USP),Laboratório de Parasitologia Médica - Instituto de Medicina Tropica - Universidade de São Paulo,Brazil-UK Centre for Arbovirus Discovery Diagnosis Genomics and Epidemiology (CADDE) Genomic Network - Instituto de Medicina Tropical
EPI_ISL_672718,Institute of Tropical Medicine at the University of São Paulo (IMT-USP),Laboratório de Parasitologia Médica - Instituto de Medicina Tropica - Universidade de São Paulo,Brazil-UK Centre for Arbovirus Discovery Diagnosis Genomics and Epidemiology (CADDE) Genomic Network - Instituto de Medicina Tropical
EPI_ISL_672719,Institute of Tropical Medicine at the University of São Paulo (IMT-USP),Laboratório de Parasitologia Médica - Instituto de Medicina Tropica - Universidade de São Paulo,Brazil-UK Centre for Arbovirus Discovery Diagnosis Genomics and Epidemiology (CADDE) Genomic Network - Instituto de Medicina Tropical
EPI_ISL_672720,Institute of Tropical Medicine at the University of São Paulo (IMT-USP),Laboratório de Parasitologia Médica - Instituto de Medicina Tropica - Universidade de São Paulo,Brazil-UK Centre for Arbovirus Discovery Diagnosis Genomics and Epidemiology (CADDE) Genomic Network - Instituto de Medicina Tropical
EPI_ISL_672721,Institute of Tropical Medicine at the University of São Paulo (IMT-USP),Laboratório de Parasitologia Médica - Instituto de Medicina Tropica - Universidade de São Paulo,Brazil-UK Centre for Arbovirus Discovery Diagnosis Genomics and Epidemiology (CADDE) Genomic Network - Instituto de Medicina Tropical
EPI_ISL_672722,Hospital das Clínicas da Faculdade de Medicina da Universidade de São Paulo (HC-FMUSP),Laboratório de Parasitologia Médica - Instituto de Medicina Tropical - Universidade de São Paulo,Brazil-UK Centre for Arbovirus Discovery Diagnosis Genomics and Epidemiology (CADDE) Genomic Network - Instituto de Medicina Tropical
EPI_ISL_672724,Hospital das Clínicas da Faculdade de Medicina da Universidade de São Paulo (HC-FMUSP),Laboratório de Parasitologia Médica - Instituto de Medicina Tropical - Universidade de São Paulo,Brazil-UK Centre for Arbovirus Discovery Diagnosis Genomics and Epidemiology (CADDE) Genomic Network - Instituto de Medicina Tropical
EPI_ISL_672725,Hospital das Clínicas da Faculdade de Medicina da Universidade de São Paulo (HC-FMUSP),Laboratório de Parasitologia Médica - Instituto de Medicina Tropical - Universidade de São Paulo,Brazil-UK Centre for Arbovirus Discovery Diagnosis Genomics and Epidemiology (CADDE) Genomic Network - Instituto de Medicina Tropical
EPI_ISL_672726,Hospital das Clínicas da Faculdade de Medicina da Universidade de São Paulo (HC-FMUSP),Laboratório de Parasitologia Médica - Instituto de Medicina Tropical - Universidade de São Paulo,Brazil-UK Centre for Arbovirus Discovery Diagnosis Genomics and Epidemiology (CADDE) Genomic Network - Instituto de Medicina Tropical
EPI_ISL_672727,Hospital das Clínicas da Faculdade de Medicina da Universidade de São Paulo (HC-FMUSP),Laboratório de Parasitologia Médica - Instituto de Medicina Tropical - Universidade de São Paulo,Brazil-UK Centre for Arbovirus Discovery Diagnosis Genomics and Epidemiology (CADDE) Genomic Network - Instituto de Medicina Tropical
EPI_ISL_672729,Hospital das Clínicas da Faculdade de Medicina da Universidade de São Paulo (HC-FMUSP),Laboratório de Parasitologia Médica - Instituto de Medicina Tropical - Universidade de São Paulo,Brazil-UK Centre for Arbovirus Discovery Diagnosis Genomics and Epidemiology (CADDE) Genomic Network - Instituto de Medicina Tropical
EPI_ISL_672732,Hospital das Clínicas da Faculdade de Medicina da Universidade de São Paulo (HC-FMUSP),Laboratório de Parasitologia Médica - Instituto de Medicina Tropical - Universidade de São Paulo,Brazil-UK Centre for Arbovirus Discovery Diagnosis Genomics and Epidemiology (CADDE) Genomic Network - Instituto de Medicina Tropical
EPI_ISL_672734,Hospital das Clínicas da Faculdade de Medicina da Universidade de São Paulo (HC-FMUSP),Laboratório de Parasitologia Médica - Instituto de Medicina Tropical - Universidade de São Paulo,Brazil-UK Centre for Arbovirus Discovery Diagnosis Genomics and Epidemiology (CADDE) Genomic Network - Instituto de Medicina Tropical
EPI_ISL_672735,Hospital das Clínicas da Faculdade de Medicina da Universidade de São Paulo (HC-FMUSP),Laboratório de Parasitologia Médica - Instituto de Medicina Tropical - Universidade de São Paulo,Brazil-UK Centre for Arbovirus Discovery Diagnosis Genomics and Epidemiology (CADDE) Genomic Network - Instituto de Medicina Tropical
EPI_ISL_672739,Hospital das Clínicas da Faculdade de Medicina da Universidade de São Paulo (HC-FMUSP),Laboratório de Parasitologia Médica - Instituto de Medicina Tropical - Universidade de São Paulo,Brazil-UK Centre for Arbovirus Discovery Diagnosis Genomics and Epidemiology (CADDE) Genomic Network - Instituto de Medicina Tropical
EPI_ISL_672740,Hospital das Clínicas da Faculdade de Medicina da Universidade de São Paulo (HC-FMUSP),Laboratório de Parasitologia Médica - Instituto de Medicina Tropical - Universidade de São Paulo,Brazil-UK Centre for Arbovirus Discovery Diagnosis Genomics and Epidemiology (CADDE) Genomic Network - Instituto de Medicina Tropical
EPI_ISL_672741,Hospital das Clínicas da Faculdade de Medicina da Universidade de São Paulo (HC-FMUSP),Laboratório de Parasitologia Médica - Instituto de Medicina Tropical - Universidade de São Paulo,Brazil-UK Centre for Arbovirus Discovery Diagnosis Genomics and Epidemiology (CADDE) Genomic Network - Instituto de Medicina Tropical
EPI_ISL_672742,Hospital das Clínicas da Faculdade de Medicina da Universidade de São Paulo (HC-FMUSP),Laboratório de Parasitologia Médica - Instituto de Medicina Tropical - Universidade de São Paulo,Brazil-UK Centre for Arbovirus Discovery Diagnosis Genomics and Epidemiology (CADDE) Genomic Network - Instituto de Medicina Tropical
EPI_ISL_672743,Hospital das Clínicas da Faculdade de Medicina da Universidade de São Paulo (HC-FMUSP),Laboratório de Parasitologia Médica - Instituto de Medicina Tropical - Universidade de São Paulo,Brazil-UK Centre for Arbovirus Discovery Diagnosis Genomics and Epidemiology (CADDE) Genomic Network - Instituto de Medicina Tropical
EPI_ISL_672747,Institute of Tropical Medicine at the University of São Paulo (IMT-USP),Laboratório de Parasitologia Médica - Instituto de Medicina Tropical - Universidade de São Paulo,Brazil-UK Centre for Arbovirus Discovery Diagnosis Genomics and Epidemiology (CADDE) Genomic Network - Instituto de Medicina Tropical
EPI_ISL_672748,Institute of Tropical Medicine at the University of São Paulo (IMT-USP),Laboratório de Parasitologia Médica - Instituto de Medicina Tropical - Universidade de São Paulo,Brazil-UK Centre for Arbovirus Discovery Diagnosis Genomics and Epidemiology (CADDE) Genomic Network - Instituto de Medicina Tropical
EPI_ISL_672749,Institute of Tropical Medicine at the University of São Paulo (IMT-USP),Laboratório de Parasitologia Médica - Instituto de Medicina Tropical - Universidade de São Paulo,Brazil-UK Centre for Arbovirus Discovery Diagnosis Genomics and Epidemiology (CADDE) Genomic Network - Instituto de Medicina Tropical
EPI_ISL_672750,Institute of Tropical Medicine at the University of São Paulo (IMT-USP),Laboratório de Parasitologia Médica - Instituto de Medicina Tropical - Universidade de São Paulo,Brazil-UK Centre for Arbovirus Discovery Diagnosis Genomics and Epidemiology (CADDE) Genomic Network - Instituto de Medicina Tropical
EPI_ISL_861665,Instituto Adolfo Lutz - Regional de Taubate,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes, Karoline Rodrigues Campos"
EPI_ISL_861666,PSF Dr. Antonio Pires de Almeida,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes, Karoline Rodrigues Campos"
EPI_ISL_861667,Instituto Adolfo Lutz - Regional de Rio Claro,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes, Karoline Rodrigues Campos"
EPI_ISL_861669,Lab LOC - Itapecerica da Serra,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes, Karoline Rodrigues Campos"
EPI_ISL_861671,Hospital Municipal Prefeito Waldemar Costa Filho,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes, Karoline Rodrigues Campos"
EPI_ISL_861672,Day Hospital de Ermelino Matarazzo,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes, Karoline Rodrigues Campos"
EPI_ISL_861680,Hospital e Pronto Socorro Portinari,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes, Karoline Rodrigues Campos"
EPI_ISL_861681,Hospital Municipal Dr. Waldemar Tebaldi,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes, Karoline Rodrigues Campos"
EPI_ISL_882658,Secretaria Municipal de Saude,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes, Karoline Rodrigues Campos"
EPI_ISL_882659,Centro de Triagem Covid19,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes, Karoline Rodrigues Campos"
EPI_ISL_882660,Hospital Municipal Prefeito Waldemar Costa Filho,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes, Karoline Rodrigues Campos"
EPI_ISL_882661,Hospital de Santa Barbara de Goias,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes, Karoline Rodrigues Campos"
EPI_ISL_882662,Hospital de Santa Barbara de Goias,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes, Karoline Rodrigues Campos"
EPI_ISL_882665,Unidade de Pronto Atendimento Dra Zilda Arns,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes, Karoline Rodrigues Campos"
EPI_ISL_882672,Hospital Municipal Dr. Guido Guida,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes, Karoline Rodrigues Campos"
EPI_ISL_906066,Hospital Nipo Brasileiro,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes, Karoline Rodrigues Campos"
EPI_ISL_906067,PS e Maternidade Nair Fonseca Leitao Arantes,"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory","Claudio Tavares Sacchi, Claudia Regina Gonçalves, Erica Valessa Ramos Gomes, Karoline Rodrigues Campos"
EPI_ISL_476181,DB Diagnósticos do Brasil,Instituto de Medicina Tropical da Univesidade de São Paulo,"Nelson Gaburo Jr, Ingra Morales Claro, Jaqueline Goes de Jesus, Erika Regina Manuli, Flavia Cristina da Silva Sales, Thais de Moura Coletti, Camila Alves Maia da Silva, Mariana Severo Ramundo, Giula Magalhaes Ferreira, Darlan da Silva Candido, Julien Theze, Nuno Faria, Ester Sabino"
EPI_ISL_476187,DB Diagnósticos do Brasil,Instituto de Medicina Tropical da Univesidade de São Paulo,"Nelson Gaburo Jr, Ingra Morales Claro, Jaqueline Goes de Jesus, Erika Regina Manuli, Flavia Cristina da Silva Sales, Thais de Moura Coletti, Camila Alves Maia da Silva, Mariana Severo Ramundo, Giula Magalhaes Ferreira, Darlan da Silva Candido, Julien Theze, Nuno Faria, Ester Sabino"
EPI_ISL_476203,Hospital da Clínicas da Faculdade de Medicina da Universidade de São Paulo,Instituto de Medicina Tropical da Univesidade de São Paulo,"Ingra Morales Claro, Erika Regina Manuli, Cecilia Salete Alencar, Carolina S. Lazar, Silvia F. Costa; Sequencing: Ingra Morales Claro, Jaqueline Goes de Jesus, Erika Regina Manuli, Flavia Cristina da Silva Sales, Thais de Moura Coletti, Camila Alves Maia da Silva, Mariana Severo Ramundo, Giula Magalhaes Ferreira, Darlan da Silva Candido, Julien Theze, Nuno Faria, Ester Sabino"
EPI_ISL_476205,Hospital da Clínicas da Faculdade de Medicina da Universidade de São Paulo,Instituto de Medicina Tropical da Univesidade de São Paulo,"Ingra Morales Claro, Erika Regina Manuli, Cecilia Salete Alencar, Carolina S. Lazar, Silvia F. Costa; Sequencing: Ingra Morales Claro, Jaqueline Goes de Jesus, Erika Regina Manuli, Flavia Cristina da Silva Sales, Thais de Moura Coletti, Camila Alves Maia da Silva, Mariana Severo Ramundo, Giula Magalhaes Ferreira, Darlan da Silva Candido, Julien Theze, Nuno Faria, Ester Sabino"
EPI_ISL_476206,Hospital da Clínicas da Faculdade de Medicina da Universidade de São Paulo,Instituto de Medicina Tropical da Univesidade de São Paulo,"Ingra Morales Claro, Erika Regina Manuli, Cecilia Salete Alencar, Carolina S. Lazar, Silvia F. Costa; Sequencing: Ingra Morales Claro, Jaqueline Goes de Jesus, Erika Regina Manuli, Flavia Cristina da Silva Sales, Thais de Moura Coletti, Camila Alves Maia da Silva, Mariana Severo Ramundo, Giula Magalhaes Ferreira, Darlan da Silva Candido, Julien Theze, Nuno Faria, Ester Sabino"
EPI_ISL_476207,Hospital da Clínicas da Faculdade de Medicina da Universidade de São Paulo,Instituto de Medicina Tropical da Univesidade de São Paulo,"Ingra Morales Claro, Erika Regina Manuli, Cecilia Salete Alencar, Carolina S. Lazar, Silvia F. Costa; Sequencing: Ingra Morales Claro, Jaqueline Goes de Jesus, Erika Regina Manuli, Flavia Cristina da Silva Sales, Thais de Moura Coletti, Camila Alves Maia da Silva, Mariana Severo Ramundo, Giula Magalhaes Ferreira, Darlan da Silva Candido, Julien Theze, Nuno Faria, Ester Sabino"
EPI_ISL_476208,Hospital da Clínicas da Faculdade de Medicina da Universidade de São Paulo,Instituto de Medicina Tropical da Univesidade de São Paulo,"Ingra Morales Claro, Erika Regina Manuli, Cecilia Salete Alencar, Carolina S. Lazar, Silvia F. Costa; Sequencing: Ingra Morales Claro, Jaqueline Goes de Jesus, Erika Regina Manuli, Flavia Cristina da Silva Sales, Thais de Moura Coletti, Camila Alves Maia da Silva, Mariana Severo Ramundo, Giula Magalhaes Ferreira, Darlan da Silva Candido, Julien Theze, Nuno Faria, Ester Sabino"
EPI_ISL_476222,Hospital da Clínicas da Faculdade de Medicina da Universidade de São Paulo,Instituto de Medicina Tropical da Univesidade de São Paulo,"Ingra Morales Claro, Erika Regina Manuli, Cecilia Salete Alencar, Carolina S. Lazar, Silvia F. Costa; Sequencing: Ingra Morales Claro, Jaqueline Goes de Jesus, Erika Regina Manuli, Flavia Cristina da Silva Sales, Thais de Moura Coletti, Camila Alves Maia da Silva, Mariana Severo Ramundo, Giula Magalhaes Ferreira, Darlan da Silva Candido, Julien Theze, Nuno Faria, Ester Sabino"
EPI_ISL_476223,Hospital da Clínicas da Faculdade de Medicina da Universidade de São Paulo,Instituto de Medicina Tropical da Univesidade de São Paulo,"Ingra Morales Claro, Erika Regina Manuli, Cecilia Salete Alencar, Carolina S. Lazar, Silvia F. Costa; Sequencing: Ingra Morales Claro, Jaqueline Goes de Jesus, Erika Regina Manuli, Flavia Cristina da Silva Sales, Thais de Moura Coletti, Camila Alves Maia da Silva, Mariana Severo Ramundo, Giula Magalhaes Ferreira, Darlan da Silva Candido, Julien Theze, Nuno Faria, Ester Sabino"
